city,alias
Caloocan,caloocan
Las Piñas,las piñas
Las Piñas,las pinas
Makati,makati
Malabon,malabon
Mandaluyong,mandaluyong
Manila,manila
Manila,ermita
Manila,intramuros
Manila,sampaloc
Manila,malate
Manila,binondo
Manila,taft
Manila,españa
Manila,espana
Marikina,marikina
Muntinlupa,muntinlupa
Muntinlupa,alabang
Navotas,navotas
Parañaque,parañaque
Parañaque,paranaque
Pasay,pasay
Pasig,pasig
Quezon City,quezon city
Quezon City,qc
San Juan,san juan
Taguig,taguig
Taguig,bgc
Taguig,bonifacio global city
Valenzuela,valenzuela
Pateros,pateros
Bulacan,bulacan
Cavite,cavite
Laguna,laguna
Rizal,rizal
Antipolo,antipolo
